category_id,cod_prod,descricao,unid_medida,layer_pallet,ballast,box_by_pallet,height,length,width,weight_gross,weight_liquid,ean_box,ean,factor,cubagem
6,01.1002,S BAR YPE NEUTRO PE 20X5X200G,CX,9,7,63,19.7,41.3,29.3,20.545,20,27896098900103,7896098900109,20,0
6,01.100203,S BAR YPE NEUTRO PE 20X5X200G BI,CX,9,7,63,19.7,41.3,29.3,20.433,20,17896098902698,7896098900109,20,0
6,01.100204,S BAR YPE NEUTRO PE 20X5X200G ES,CX,9,7,63,19.8,42,29.3,20.433,20,17896098902728,7896098900109,20,0
6,01.100205,S BAR YPE NEUTRO PE 20X5X200G S/CX,CX,9,6,54,19.8,42,29.3,20.1,20,97896098900102,7896098900109,20,0
6,01.100218,S BAR YPE NEUTRO PE 20X5X200G EX,CX,9,7,63,19.7,41.3,29.3,20.433,20,37896098900100,7896098900109,20,0
6,01.1003,S BAR YPE NEUTRO PE 20X6X200G L6P505+1S,CX,7,7,49,19.7,49.3,29.3,24.576,24,67896098901061,7896098901069,20,0
6,01.1004,S BAR YPE NEUTRO PE 20X6X200G L6P5,CX,7,7,49,19.7,49.3,29.3,24.576,24,17896098900137,7896098906101,20,0
6,01.1005,S BAR YPE NEUTRO PE 10X5X200G,CX,18,7,126,19.9,29.4,21,10.26,10,17896098900106,7896098900109,10,0
6,01.100503,S BAR YPE NEUTRO PE 10X5X200G IN,CX,18,7,126,19.9,29.4,21,10.25,10,17896098900298,7896098900109,10,0
6,01.100504,S BAR YPE NEUTRO PE 10X5X200G ES,CX,18,7,126,19.9,29.4,21,10.25,10,17896098900342,7896098900109,10,0
6,01.100514,S BAR YPE NEUTRO PE 10X5X200G FR,CX,18,7,126,19.9,29.4,21,10.25,10,77896098908722,7896098900109,10,0
6,01.100518,S BAR YPE NEUTRO PE 10X5X200G EX,CX,18,7,126,19.9,29.4,21,10.25,10,47896098900107,7896098900109,10,0
6,01.1023,S BAR UN YPE NEUTRO PE 50X200G,CX,17,7,119,20.6,29.8,21.4,10.346,10,17896098901103,7896098906118,50,0
6,01.102303,S BAR UN YPE NEUTRO PE 50X200G IN,CX,17,7,119,20.6,29.8,21.4,10.346,10,17896098900946,7896098906118,50,0
6,01.102304,S BAR UN YPE NEUTRO PE 50X200G ES,CX,17,7,119,20.6,29.8,21.4,10.346,10,17896098900953,7896098906118,50,0
6,01.102313,S BAR UN YPE NEUTRO PE 50X200G AR,CX,17,7,119,20.6,29.8,21.4,10.346,10,67896098906110,7896098906118,50,0
